X,Y,Price per sqm
27.5554,53.881,22.44897959
27.5463,53.8752,19.44444444
27.6041,53.9018,15.4
27.6239,53.9073,24.60063898
27.702873,53.945766,17.99065421
27.6537,53.9365,20.98092643
27.6921,53.9502,18.28978622
27.71,53.9448,24.83870968
27.5853,53.9391,15.90909091
27.594681,53.933313,24.0625
27.6163,53.9592,12.83333333
27.603297,53.959771,22.64705882
27.5927,53.9087,27.5
27.573588,53.920846,28.20512821
27.500668,53.907279,23.19277108
27.4745,53.9126,18.33333333
27.4191,53.9105,20.31662269
27.445,53.8783,16.04166667
27.4934,53.9099,23.05389222
27.4587,53.9058,19.39546599
27.4963,53.895,22.84866469
27.4953,53.9037,20.05208333
27.4954,53.8959,23.54740061
27.516727,53.908962,16.73913043
27.4614,53.9057,17.11111111
27.5509,53.9285,24.0625
27.4942,53.9308,20.92391304
30.2259,55.1938,17.5
30.2795,55.1699,20.81081081
30.2014,55.1663,18.33333333
30.224,55.174,16.27906977
23.693325,52.089345,17.6201373
23.704,52.0962,16.52360515
23.7036,52.0965,17.11111111
27.495,53.8778,26.5
27.5752,53.927,23.38235294
27.502012,53.902119,16.5625
27.418149,53.91659,23.38235294
27.4489,53.9161,16.7721519
27.4273,53.9082,19.875
27.4995,53.9089,22.71428571
27.5367,53.9053,20.18190757
27.4525,53.8459,19.18224299
27.5529,53.8701,21.60526316
27.5488,53.8852,16.99792961
27.6263,53.9111,24.14705882
27.6076,53.9247,21.83510638
27.6521,53.9359,24.14705882
27.5767,53.9277,39.0952381
27.6101,53.9583,25.33950617
27.5869,53.9123,26.91803279
27.5958,53.9407,17.10416667
27.5818,53.9223,26.46679562
27.456625,53.878343,21.77718833
27.4351,53.9218,20.22167488
27.4512,53.9183,17.03319502
27.4271,53.9019,20.02439024
27.428436,53.908265,20.525
27.4285,53.9081,22.43169399
27.4897,53.9128,26.48387097
27.4645,53.9182,17.50533049
27.534,53.9135,22.18918919
27.5654,53.9195,25.25741975
27.569,53.9221,27.05128205
27.4663,53.8673,25.82317073
27.5235,53.8895,20.65853659
27.5535,53.8709,30.91240876
27.6544,53.9276,18.0212766
27.6866,53.9335,25.51204819
27.598,53.9277,23.65921788
27.6805,53.9405,24.2
27.5929,53.9375,18.21505376
27.5745,53.9202,23.7254902
27.4562,53.8793,19.97641509
27.4389,53.9285,20.16666667
27.4308,53.906,20.70904645
27.4285,53.9081,19.38215103
27.4254,53.8983,23.52777778
27.5291,53.9121,20.02364066
27.542187,53.909481,22.28947368
27.5308,53.9109,17.64583333
27.5415,53.9297,20.07109005
27.464,53.942,18.41304348
27.4898,53.9331,19.74358974
27.5543,53.9204,25.0591716
27.5918,53.8972,28.528728
27.6532,53.9329,19.37777778
27.6164,53.9288,28.59016393
27.6966,53.9261,19.37777778
27.6984,53.9277,20.56603774
27.582,53.9247,26.31261316
27.605,53.9452,21.8
27.4977,53.9091,27.25
27.4754,53.847,20.34090909
27.5703,53.9254,28.96440129
27.6829,54.0134,22.17283951
27.6646,53.9593,29.34640523
27.6661,53.9524,21.90243902
27.6741,53.9542,23.32467532
27.672755,53.961985,26.41176471
27.429392,53.953895,17.26923077
23.8025,53.6749,17.96
27.6662,53.8649,26.02898551
27.5796,53.8745,20.73903002
27.573,53.8731,29.14638105
